Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
04212/18/30;0;61;;;;Neutral;13.07.2026
04213/10/30;0;34;;;;Neutral;13.07.2026
04215/01/02;0;121;;;;Neutral;13.07.2026
04215/01/30;0;313;;;;Neutral;13.07.2026
05157/45/72;0;75;;27/07/2026;New Phase 2;Essential;13.07.2026
05158/01/41;0;0;31/08/2026;;New Phase 2;Essential;13.07.2026
05233/01/30;1;210;;;;Competitive;13.07.2026
05241/01/30;2;0;;;Dropped out;;13.07.2026
05433/02/30;0;500;;;;Competitive;13.07.2026
05446/08/30;0;89;;;;Competitive;13.07.2026
05446/13/30;0;185;;;;Competitive;13.07.2026
05457/03/72;0;77;;;New Phase 2;Essential;13.07.2026
05457/13/72;0;79;;;New Phase 2;Essential;13.07.2026
05457/45/72;0;74;;27/07/2026;New Phase 2;Essential;13.07.2026
05457/60/72;0;75;;;New Phase 2;Essential;13.07.2026
05458/01/41;0;0;31/08/2026;;New Phase 2;Essential;13.07.2026
05458/02/41;0;0;15/09/2026;;New Phase 2;Essential;13.07.2026
05529/01/30;1;0;;;Dropped out;;13.07.2026
05538/01/02;0;0;;;Liquidation;Neutral;13.07.2026
05539/01/02;0;36;;;Liquidation;Neutral;13.07.2026
05545/06/66;0;135;;27/07/2026;;Competitive;13.07.2026
05545/06/99;0;117;;;;Competitive;13.07.2026
05548/01/61;0;21;;;;Neutral;13.07.2026
05549/01/41;0;85;;;;Neutral;13.07.2026
05549/01/55;0;89;;;;Neutral;13.07.2026
05550/10/61;0;87;;;;Neutral;13.07.2026
05550/20/61;0;122;;;;Neutral;13.07.2026
05551/01/61;0;55;;27/07/2026;;Neutral;13.07.2026
05552/01/61;0;55;;;;Neutral;13.07.2026
05553/81/36;0;160;;;;Competitive;13.07.2026
05553/81/73;0;30;;;;Competitive;13.07.2026
05554/09/02;0;65;;;;Premium;13.07.2026
05555/06/30;0;78;;;;Neutral;13.07.2026
05555/24/30;0;68;;;;Neutral;13.07.2026
05556/81/41;0;0;;27/07/2026;;Neutral;13.07.2026
05730/01/30;0;132;;;;Competitive;13.07.2026
05733/02/30;0;54;;;;Competitive;13.07.2026
05745/14/99;0;100;;;;Competitive;13.07.2026
05747/81/30;0;46;31/10/2026;;;Competitive;13.07.2026
05747/85/30;0;61;31/10/2026;;;Competitive;13.07.2026
05753/81/36;0;28;;;Liquidation;Competitive;13.07.2026
05753/81/73;0;98;;;;Competitive;13.07.2026
05910/10/30;4;0;;;Dropped out;;13.07.2026
06218/01/30;0;176;;;;Competitive;13.07.2026
06218/01/31;0;216;;;;Competitive;13.07.2026
06424/04/73;0;106;;;;Competitive;13.07.2026
06428/01/31;0;54;;;;Essential;13.07.2026
06430/03/38;0;0;30/09/2026;;New Phase 1;Essential;13.07.2026
06430/45/38;0;0;30/09/2026;;New Phase 1;Essential;13.07.2026
06502/81/31;10;0;;;Dropped out;;13.07.2026
06524/01/73;0;8;;;;Competitive;13.07.2026
06525/81/70;0;53;;;;Neutral;13.07.2026
06526/81/70;0;43;;10/08/2026;;Neutral;13.07.2026
06527/01/33;0;96;;;;Competitive;13.07.2026
06527/01/38;0;30;;10/08/2026;;Competitive;13.07.2026
06527/01/55;0;128;;;;Competitive;13.07.2026
